plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile
8312-6102,1-210972,0.0325493,0.733,0.733,145.2,4.944650026272722,1,1,2,10.596,10.681,0.177,0.027408,59.255,0.084999999999999,10.59,10.661,0.15,0.025923,59.255,0.0709999999999997,10.25749858129809,10.595039,134.01643,1.0631853,0.749043,3.97499,4288,3.3227490701424944,0.2452225502594993,0.2512225502594995,0.5837239689614087,0.24618355025949945,Mid
8313-6102,1-248289,0.0341391,0.75,0.75,195.8,5.180250440284311,3,1,0,10.933,10.942,0.019,0.027923,77.744,0.0090000000000003,10.908,10.934,0.057,0.028759,77.903,0.0259999999999998,10.546126676701531,10.883667,167.2602,1.1182721,0.469719,5.65466,1040,3.6441022949135444,0.14078469875550964,0.1657846987555099,0.527658022053978,0.19011769875550855,High
8485-12703,1-633196,0.0380864,0.19,0.19,152.3,12.918427852256258,1,1,0,11.128,11.128,0.0,0.026726,79.813,0.0,11.128,11.128,0.0,0.026667,79.813,0.0,10.780640571940404,11.118181,164.79214,0.8775145,0.95488,10.0444,1040,10.090294681602185,0.3751857523978688,0.3751857523978688,0.7225451804574645,0.3850047523978692,High
8318-6102,1-284293,0.12908,0.295,0.295,180.3,4.7352005462605575,1,1,2,11.296,11.297,0.0,0.059076,84.023,0.0010000000000012,11.297,11.297,0.0,0.059364,84.023,0.0,11.007534417897258,11.345075,185.99524,1.0462993,0.918926,4.18236,4160,11.270976008711592,0.36037410063446274,0.3593741006344615,0.6488396827372042,0.3112991006344626,High
8554-12705,1-401919,0.0335301,0.818,0.818,120.4,9.27979652504843,1,1,0,10.494,10.687,0.359,0.015692,67.244,0.1929999999999996,10.46,10.684,0.403,0.018511,68.463,0.2239999999999984,10.308331731591572,10.645872,93.52218,0.88202053,0.417372,11.5031,1040,6.416229288523789,0.32051803424936687,0.35451803424936573,0.5061863026577945,0.16864603424936597,Mid
8320-6102,1-519707,0.0277862,0.549,0.549,106.0,5.238506722887354,1,1,0,10.412,10.459,0.103,0.039963,25.808,0.0469999999999988,10.386,10.514,0.254,0.034857,25.827,0.1280000000000001,10.03801180324854,10.375552,105.36209,0.9535824,0.904947,4.12669,1168,3.022433489661807,0.17913442200373636,0.2051344220037379,0.5531226187551965,0.21558242200373628,Mid
8482-12702,1-542351,0.056681,0.101,0.101,190.2,7.262888596477843,1,1,0,11.197,11.223,0.057,0.001346,80.043,0.0260000000000015,11.2,11.225,0.054,0.001405,29.596,0.0250000000000003,10.848805931346044,11.186347,195.1464,0.902866,0.851057,9.15914,1040,8.256995046260272,0.3659520275067669,0.36295202750676686,0.7141460961607218,0.3766050275067665,High
8604-12701,1-210881,0.0350385,0.442,0.442,116.6,16.10076424456347,3,1,0,11.264,11.264,0.0,0.019073,18.315,0.0,11.239,11.239,0.0,0.01935,18.37,0.0,10.832824938532172,11.170365,119.38308,0.87921846,0.980852,12.3443,1040,11.612055232188371,0.020203566793714985,0.04520356679371375,0.45137862826154296,0.11383856679371412,High
8464-12701,1-258820,0.0235479,0.792,0.792,83.6,11.43170470959418,3,1,0,10.25,10.447,0.365,0.023275,60.157,0.1969999999999991,10.222,10.453,0.412,0.023265,60.472,0.2309999999999998,9.893835524843391,10.231376,51.622234,0.8914358,0.575578,13.126,1040,5.618421042494713,-0.009303212278449921,0.018696787721550538,0.346861262878159,0.009320787721550964,Mid
8320-1901,1-523238,0.0277398,0.136,0.136,158.2,5.495506579056938,1,1,0,10.708,10.744,0.079,0.038626,19.168,0.0359999999999995,10.704,10.746,0.092,0.038558,19.48,0.0419999999999998,10.041925356132008,10.379466,160.64203,1.1456038,0.954595,3.46338,1168,3.1655963603915453,0.26958282065054245,0.2735828206505419,0.9356574645185343,0.5981168206505418,Mid
