plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile,Eps_MGE,beta_z,LW_AGE_1Re,LW_Z_1Re,nsa_sersic_n,log_Re_kpc,kin_class
11952-6103,1-325834,0.036661867,0.061,0.061,199.7,11.911349809887604,1,1,0,11.198,11.256,0.124,0.02653,86.468,0.0579999999999998,11.207,11.257,0.107,0.026299,86.465,0.0499999999999989,10.593807239926376,10.931348,206.72742,0.9344466,0.67372257,6.2497735,1040,8.97106249079207,0.4510489666129063,0.442048966612906,1.055241726686531,0.7177009666129068,High,0.031,0.0,0.7530773878097534,0.11420295387506485,3.5336332,0.9528438819027266,slow
11872-6103,1-150785,0.06169358,0.096,0.096,210.6,10.008536745748028,1,1,0,11.369,11.459,0.186,0.027182,39.215,0.0899999999999998,11.412,11.453,0.089,0.024407,39.152,0.0409999999999985,10.856496942986682,11.194037,214.62602,0.90346557,0.7605309,6.01167,1040,12.311312479192951,0.4500780142972354,0.4070780142972343,0.9625810713105526,0.6250410142972354,High,0.303,0.0,0.7443797588348389,0.08398842066526413,6.0,1.0903043544818232,slow
11977-6103,1-325684,0.032695293,0.398,0.398,190.6,8.7773352610256,3,1,0,11.003,11.034,0.068,0.027225,71.405,0.0310000000000005,11.017,11.028,0.023,0.026914,79.408,0.011000000000001,10.529058195551368,10.866599,189.46478,0.91225284,0.79882944,6.1460433,1040,5.923682315552028,0.3900576548074602,0.3760576548074608,0.8639994592560922,0.5264586548074595,High,0.258,0.0,0.756184458732605,0.048554543405771255,6.0,0.772591759453784,fast
11838-3704,1-586725,0.0234129,0.224,0.224,145.7,4.221795840919711,1,1,0,10.35,10.463,0.228,0.019108,62.716,0.1129999999999995,10.37,10.469,0.204,0.020089,63.783,0.0990000000000002,10.056067837910955,10.393608,139.71254,1.3075303,0.6219516,3.7882662,1040,2.063358570916204,0.3204543984215403,0.3004543984215407,0.6143865605105845,0.2768463984215396,Mid,0.472,0.0,0.6944506168365479,0.05953029915690422,2.737856,0.314574706324339,slow
12071-12702,1-597528,0.025454314,0.664,0.664,130.2,11.480155777691486,1,1,2,10.672,10.673,0.0,0.019663,75.357,0.0009999999999994,10.681,10.682,0.0,0.019354,76.352,0.0010000000000012,10.428172744522715,10.765714,115.64225,0.87582636,0.40728068,14.501357,4096,6.0849354397653945,0.3038979562443198,0.2948979562443211,0.5477252117216049,0.2101839562443212,Mid,0.629,0.0,0.5389881134033203,0.08350956439971924,3.1168027,0.78425597479248,fast
12087-6101,1-118034,0.039566558,0.686,0.686,172.3,6.172395564825893,1,1,0,10.912,10.944,0.07,0.033689,63.04,0.032,10.899,10.946,0.102,0.033202,64.208,0.0470000000000006,10.559454148873568,10.896995,153.75827,0.9966381,0.63959223,5.785265,1040,4.999584393560615,0.2260197870970235,0.2390197870970252,0.5785656382234561,0.2410247870970239,High,0.376,0.097,0.8308268189430237,0.05113986134529114,5.364946,0.6989339037189795,fast
12491-3703,1-62060,0.025244445,0.637,0.637,161.1,3.8537435802123454,3,1,0,10.472,10.531,0.126,0.024597,53.679,0.059000000000001,10.467,10.533,0.138,0.025233,54.19,0.0659999999999989,9.872143156273925,10.209683,158.66605,1.2871143,0.7908678,2.5006933,1552,2.0263102195945604,0.301082870494104,0.3060828704941031,0.9009397142201788,0.5633998704941036,Mid,0.264,0.0,0.7883106470108032,0.1780974119901657,6.0,0.3067059347777297,fast
10492-6104,1-380032,0.0271887,0.551,0.551,99.7,7.497464444814327,1,1,0,10.372,10.383,0.025,0.033599,25.74,0.0109999999999992,10.303,10.551,0.435,0.028939,25.739,0.2479999999999993,10.315399303051777,10.65294,98.55418,0.9640239,0.976911,5.83736,1040,4.235815986022927,0.3076960982599491,0.3766960982599482,0.3642967952081722,0.0267560982599499,Mid,0.01,0.0,0.6024103164672852,0.06600430607795715,5.29966,0.6269370850542653,fast
10492-9101,1-605026,0.0267986,0.739,0.739,93.2,8.26070931146558,3,1,0,10.379,10.506,0.253,0.029685,49.456,0.1270000000000006,10.349,10.503,0.298,0.030234,49.551,0.1539999999999999,10.112765821563038,10.450307,74.79531,0.8916068,0.644852,7.16408,1168,4.60223549589419,0.0971264862717263,0.1271264862717257,0.3633606647086884,0.0258194862717255,Mid,0.464,0.401,0.26485586166381836,0.020084090530872345,1.97755,0.6629688377030339,fast
10492-6103,1-605069,0.0277501,0.793,0.793,112.5,5.596039502350051,1,1,0,10.329,10.329,0.0,0.032528,70.565,0.0,10.336,10.336,0.0,0.02845,71.68,0.0,10.035117414205898,10.372658,91.95662,0.9497469,0.518823,5.91389,1168,3.2246634113982338,0.1720593049804396,0.16505930498044,0.4659418907745427,0.1284013049804407,Mid,0.594,0.41,0.5143853425979614,-0.06384468078613281,2.52578,0.5084843899166593,fast
10492-9102,1-380300,0.02639,0.738,0.738,102.8,8.43188708709716,1,1,0,10.377,10.483,0.217,0.020634,54.42,0.1059999999999998,10.298,10.48,0.341,0.021241,54.103,0.1820000000000003,10.248772417657788,10.586313,87.10015,0.936925,0.635794,8.02411,1040,4.628268168342242,0.2338652360410858,0.3128652360410864,0.3620928183832984,0.0245522360410859,Mid,0.505,0.0,0.4090626537799835,0.008488539606332779,2.7428,0.6654185146395104,fast
10492-6102,1-380000,0.0297122,0.714,0.714,173.0,6.686465588864308,3,1,0,10.861,10.924,0.134,0.020048,66.712,0.0629999999999988,10.862,10.916,0.117,0.019403,66.712,0.0540000000000002,10.556213219947386,10.893754,151.25957,1.0223765,0.662457,6.18849,1040,4.115662586451482,0.1782944013142934,0.1772944013142939,0.4830811813669079,0.1455404013142945,Mid,0.312,0.0,0.6780319213867188,0.10027715563774109,4.0959,0.6144397628715356,fast
10492-1902,1-380333,0.0275005,0.303,0.303,98.7,5.383989199041931,1,1,0,10.206,10.207,0.0,0.040847,25.759,0.0010000000000012,10.273,10.274,0.002,0.044112,20.452,0.0009999999999994,10.066441473327917,10.403982,103.93538,1.2808222,0.965349,2.7464,1168,3.0754951883758173,0.3808507838922337,0.3138507838922336,0.5204093105643166,0.182868783892234,Low,0.005,0.0,0.7162950038909912,0.09899625182151794,6.0,0.48791505190489215,slow
10493-12702,1-351923,0.0182367,0.683,0.683,79.9,7.385338689619357,1,1,0,9.829,9.94,0.227,0.046071,85.188,0.1109999999999988,9.374,9.868,0.679,0.043682,83.939,0.4939999999999998,9.323097335847937,9.660638,55.62525,0.86558664,0.336818,9.56061,1040,2.829257744602179,0.178625380646614,0.6336253806466141,0.6845280447986779,0.3469873806466141,Low,0.806,0.0,0.21983109414577484,-0.13216307759284973,1.27272,0.45167251336706304,fast
10492-3703,1-380384,0.0272101,0.796,0.796,65.5,3.4847050662657884,1,1,2,9.671,9.762,0.19,0.083031,62.716,0.091000000000001,9.615,9.789,0.329,0.074385,68.752,0.1739999999999995,9.287382903978491,9.624924,46.768135,0.8952817,0.490267,4.12668,4672,1.970240031138003,0.0288281575973324,0.0848281575973314,0.4124452536188406,0.0749041575973318,Low,0.606,0.0,-9999.0,-9999.0,0.967104,0.29451913877505037,fast
11748-12705,1-605722,0.02116145,0.614,0.614,172.5,11.992508106704154,1,1,2,10.952,10.973,0.044,0.014635,41.767,0.0210000000000007,10.944,10.967,0.051,0.014325,43.59,0.0229999999999996,10.676188345628946,11.013729,157.60974,0.94509554,0.8242767,9.514879,4096,5.312091459477265,0.2338405645200968,0.2418405645200959,0.5096522188911511,0.1721115645200971,High,0.247,0.0,0.21596074104309082,-0.026268765330314636,5.6692457,0.7252655437704194,fast
11021-1901,1-195854,0.03315796,0.483,0.483,137.5,4.845736285678867,1,1,0,10.467,10.468,0.0,0.038972,59.603,0.0009999999999994,10.473,10.473,0.0,0.032092,58.666,0.0,10.347816991321295,10.685358,139.1378,1.324169,0.74438024,3.6252356,1168,3.3147367702578925,0.4057482257899107,0.3997482257899104,0.5249312344686161,0.1873902257899103,Mid,0.388,0.0,0.7184365391731262,0.17754584550857544,4.889496,0.5204490459343043,fast
11021-3701,1-195671,0.062149033,0.186,0.186,247.5,8.310188454856426,1,1,0,11.489,11.56,0.15,0.026113,36.844,0.0709999999999997,11.47,11.537,0.14,0.026016,45.419,0.0670000000000001,10.93280045851489,11.270341,249.39302,0.9864351,0.9121106,4.633832,1040,10.292121548583246,0.3826824106668117,0.4016824106668119,0.9388819521519222,0.6013414106668123,High,0.192,0.0,0.8286005854606628,0.1782444715499878,6.0,1.0125049065285223,slow
11012-12702,1-245497,0.042090964,0.814,0.814,175.2,14.333871732531945,1,1,0,11.395,11.525,0.258,0.020292,56.194,0.1300000000000007,11.298,11.572,0.468,0.019788,56.177,0.2739999999999991,10.760267949639006,11.097809,133.40794,0.850193,0.7653404,11.793247,1040,12.313703892748482,0.0111609777010067,0.1081609777010064,0.645893028062,0.3083519777010065,High,0.246,0.002,0.3868429958820343,0.10202249139547348,2.0939772,1.090388705915235,fast
10844-3704,1-78336,0.08771888,0.102,0.102,257.1,5.70227451612048,1,1,2,11.567,11.64,0.154,0.042777,24.895,0.0730000000000004,11.562,11.637,0.156,0.042551,25.26,0.075000000000001,10.99346391864387,11.331004,261.18283,1.0259635,0.9480078,4.3991294,4224,9.673055983690714,0.3178618634130993,0.3228618634131,0.8913979447692288,0.5538578634130993,High,0.072,0.0,0.7678967118263245,0.13855087757110596,6.0,0.9855637012994068,slow
